Guam,GUM,138263,160188,167543,167978,168346,168606,168678,168624,169231,170534,171774,172952
Guatemala,GTM,9050115,11589761,15306316,15567419,15827690,16087418,16346950,16604026,16858333,17109746,17357886,17602431
Guinea,GIN,6354145,8336967,11333365,11625998,11930985,12240789,12554864,12877539,13205153,13531906,13859341,14190612
Guinea-Bissau,GNB,973551,1230849,1743309,1788919,1834552,1879826,1924955,1970457,2015828,2060721,2105566,2150842
Guyana,GUY,747116,759051,751115,755031,759087,763252,785514,798753,797202,804567,808726,813834
Haiti,HTI,6925331,8360225,10412740,10563757,10713849,10863543,11012421,11160438,11306801,11447569,11584996,11724763
Honduras,HND,5053234,6656725,9127846,9294505,9460798,9626842,9792850,9958829,10121763,10278345,10432860,10593798
"Hong Kong SAR, China",HKG,5704500,6665000,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100,7536100
Hungary,HUN,10373988,10210971,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709891,9643048,9589872
Iceland,ISL,254826,281205,327386,330815,335439,343400,352721,360563,366463,372520,382003,393600
India,IND,870452165,1059633675,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173,1428627663
Indonesia,IDN,182159874,214072421,256229761,259091970,261850182,264498852,267066843,269582878,271857970,273753191,275501339,277534122
"Iran, Islamic Rep.",IRN,55793629,65544383,79961672,81790841,83306231,84505076,85617562,86564202,87290193,87923432,88550570,89172767
Iraq,IRQ,17658381,24628858,36746488,37757813,38697943,39621162,40590700,41563520,42556984,43533592,44496122,45504560
Ireland,IRL,3513974,3805174,4657740,4701957,4755335,4807388,4867316,4934340,4985382,5033164,5127170,5262382
Isle of Man,IMN,68865,75562,83896,83593,83450,83580,83775,83933,84046,84263,84519,84710
Israel,ISR,4660000,6289000,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9371400,9557500,9756700
Italy,ITA,56719240,56942108,60789140,60730582,60627498,60536709,60421760,59729081,59438851,59133173,58940425,58761146
Jamaica,JAM,2392030,2612205,2784543,2794445,2802695,2808376,2811835,2813773,2820436,2827695,2827377,2825544
Japan,JPN,123478000,126843000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989,124516650
Jordan,JOR,3480587,5056174,8658026,9494246,9964656,10215381,10459865,10698683,10928721,11148278,11285869,11337052
Kazakhstan,KAZ,16348000,14883626,17288285,17542806,17794055,18037776,18276452,18513673,18755666,19191356,19634983,19900177
Kenya,KEN,23162269,30851606,45831863,46851488,47894670,48948137,49953304,50951450,51985780,53005614,54027487,55100586
Kiribati,KIR,75124,88826,114985,116707,118513,120362,122261,124241,126463,128874,131232,133515
"Korea, Dem. People's Rep.",PRK,20799523,23367059,25126131,25258015,25389611,25516321,25638149,25755441,25867467,25971909,26069416,26160821
"Korea, Rep.",KOR,42869283,47008111,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51769539,51672569,51712619
Kosovo,XKX,1964986,1823286,1812771,1788196,1777557,1791003,1797085,1788878,1790133,1786038,1768086,1756374
Kuwait,KWT,1674938,1934901,3761584,3908743,4048085,4124904,4317185,4441100,4360444,4250114,4268873,4310108
Kyrgyz Republic,KGZ,4391200,4898400,5835500,5956900,6079500,6198200,6322800,6456200,6579900,6773400,6974900,7100800
Lao PDR,LAO,4314443,5430853,6691454,6787419,6891363,6997917,7105006,7212053,7319399,7425057,7529475,7633779
Latvia,LVA,2663151,2367550,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1884490,1879383,1881750
Lebanon,LBN,3593700,4320642,6274342,6398940,6258619,6109252,5950839,5781907,5662923,5592631,5489739,5353930
Lesotho,LSO,1798997,1998630,2095242,2118521,2143872,2170617,2198017,2225702,2254100,2281454,2305825,2330318
Liberia,LBR,2209731,2895224,4519398,4612329,4706097,4796631,4889391,4985289,5087584,5193416,5302681,5418377
Libya,LBY,4236983,5154790,6097764,6192235,6282196,6378261,6477793,6569088,6653942,6735277,6812341,6888388
Liechtenstein,LIE,28765,33026,37096,37355,37609,37889,38181,38482,38756,39039,39327,39584
Lithuania,LTU,3697838,3499536,2932367,2904910,2868231,2828403,2801543,2794137,2794885,2800839,2831639,2871897
Luxembourg,LUX,381850,436300,556319,569604,582014,596336,607950,620001,630419,640064,653103,668606
"Macao SAR, China",MAC,350227,431896,604167,615239,626688,638609,650991,663653,676283,686607,695168,704149
Madagascar,MDG,11882762,16216431,24215976,24850912,25501941,26169542,26846541,27533134,28225177,28915653,29611714,30325732
Malawi,MWI,9539665,11229387,16477966,16938942,17405624,17881167,18367883,18867337,19377061,19889742,20405317,20931751
Malaysia,MYS,17517054,22945150,30606459,31068833,31526418,31975806,32399271,32804020,33199993,33573874,33938221,34308525
Maldives,MDV,224957,282507,416738,435582,454252,472442,489758,504508,514438,521457,523787,521021
